wilaya_id;wilaya_nom
1;ADRAR
2;AIN TEMOUCHENT
3;AIN-DEFLA
4;ALGER
5;ANNABA
6;B.B.ARRERIDJ
7;BATNA
8;BECHAR
9;BEJAIA
10;BISKRA
11;BLIDA
12;BOUIRA
13;BOUMERDES
14;CHLEeF
15;CONSTANTINE
16;DJELFA
17;EL BAYADH
18;EL TARF
19;EL-OUED
20;GHARDAIA
21;GUELMA
22;ILLIZI
23;JIJEL
24;KHENCHELA
25;LAGHOUAT
26;MASCARA
27;MEDEA
28;MILA
29;MOSTAGANEM
30;M'SILA
31;NAAMA
32;ORAN
33;OUARGLA
34;OUM EL BOUAGHI
35;RELIZANE
36;SAIDA
37;SETIF
38;SIDI BEL-ABBES
39;SKIKDA
40;SOUK AHRAS
41;TAMANRASSET
42;TEBESSA
43;TIARET
44;TINDOUF
45;TIPAZA
46;TISSEMSILT
47;TIZI-OUZOU
48;TLEMCEN
